,DATE,DAYS,posts
161,September 8,International Literacy Day,0
162,April 23,World Book and Copyright Day,0
163,April 24,International Sculpture Day,0
164,April 24,World Day for Laboratory Animals,0
165,April 25,World Malaria Day,0
166,April 26,World Intellectual Property Day,0
167,April 28,World Day for Safety and Health at Work,0
168,April 29,International Dance Day,0
169,April 30,International Jazz Day,0
170,May 1,International Workers' Day,0
171,May 3,World Press Freedom Day,0
172,May 4,"International Firefighters' Day, Star Wars Day",0
173,May 5,International Midwives Day,0
174,May 6,International No Diet Day,0
175,May 7,World Password Day,0
176,May 8,World Red Cross and Red Crescent Day,0
177,May 10,International Migratory Bird Day,0
178,May 12,International Nurses Day,0
179,May 15,International Day of Families,0
180,May 16,International Day of Light,0
181,May 17,"International Day Against Homophobia, Transphobia and Biphobia",0
182,May 17,World Telecommunication and Information Society Day,0
183,May 18,World AIDS Vaccine Day,0
184,April 24,World Meningitis Day,0
185,April 22,International Mother Earth Day,0
186,May 20,World Metrology Day,0
187,April 18,International Day For Monuments and Sites,0
188,February 12,International Day of Women's Health,0
189,March 8,International Women's Day,0
190,March 15,"World Consumer Rights Day, World Sleep Day",0
191,March 20,World Rights to Water Day,0
192,March 27,World Theatre Day,0
193,March 28,International Laser Tag Day,0
194,March 30,World Bipolar Day,0
195,March 31,International Drug Checking Day,0
196,March 31,World Backup Day,0
197,March (Second Thursday),World Kidney Day,0
198,April 2,World Autism Awareness Day,0
199,April 2,International Children's Book Day,0
200,April 6,International Day of Sport for Development and Peace,0
201,April 6,World Bohring-Opitz Syndrome Awareness Day,0
202,April 7,World Health Day,0
203,April 8,International Romani Day,0
204,April 10,World Homeopathy Day,0
205,April 11,International Louie Louie Day,0
206,April 15,World Bleeding Disorders Awareness Day,0
207,April 16,World Voice Day,0
208,April 17,World Haemophilia Day,0
209,May 18,International Museum Day,0
210,May 20,World Bee Day,0
211,September 5,International Day of Charity,0
212,July 15,World Youth Skills Day,0
213,July 17,World Emoji Day (World),0
214,July 18,Nelson Mandela International Day,0
215,July 24,International Safe Places To Work Day,0
216,July 26,International Day for the Conservation of the Mangrove Ecosystem,0
217,July 28,World Hepatitis Day,0
218,July 29,International Tiger Day,0
219,July 30,International Day of Friendship,0
